n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
201,B,04,002,0.7877,0.0001907,0.6174,73.1047,0.9524,1.3474,0.9807,0.7422,210.8277,15412.5066,271.897,19876.9615,1841.882,134650.318
202,B,04,002,0.7877,0.0001907,0.6174,118.2818,0.8154,1.9143,0.9813,0.5224,1174.1204,138877.114,271.9039,32161.2968,1856.0741,219539.85
203,B,04,002,0.7877,0.0001907,0.6174,99.3896,0.9463,1.3134,1.009,0.7614,243.6515,24216.4263,282.6515,28092.6207,1899.8802,188828.327
204,B,04,002,0.7877,0.0001907,0.6174,86.1103,0.8153,2.0477,0.9898,0.4883,1015.4467,87440.3953,275.027,23682.6522,1903.2178,163886.603
205,B,04,002,0.7877,0.0001907,0.6174,79.5391,0.9083,1.4888,0.9923,0.6717,228.8812,18204.9984,292.778,23287.2842,1903.3029,151386.924
206,B,04,002,0.7877,0.0001907,0.6174,86.9317,0.8131,2.043,1,0.4895,206.9465,17990.2019,283.2157,24620.419,1967.2189,171013.632
207,B,04,002,0.7877,0.0001907,0.6174,46.683,0.9623,1.1778,0.9827,0.849,196.9062,9192.1689,260.1466,12144.4233,1794.522,83773.6583
208,B,04,002,0.7877,0.0001907,0.6174,126.2221,0.8736,1.6676,1.0022,0.5997,210.974,26629.5675,270.2148,34107.0604,1830.1334,231003.195
209,B,04,002,0.7877,0.0001907,0.6174,94.1874,0.8522,1.792,0.9829,0.558,451.7049,42544.9088,273.2762,25739.1681,1874.2326,176529.07
210,B,04,002,0.7877,0.0001907,0.6174,80.0867,0.7273,2.4439,0.9766,0.4092,211.2855,16921.1476,292.8513,23453.4811,1870.2803,149784.506
211,B,04,002,0.7877,0.0001907,0.6174,96.7885,0.9124,1.5315,0.9958,0.6529,198.8854,19249.8213,265.9703,25742.8644,1862.3267,180251.799
212,B,04,002,0.7877,0.0001907,0.6174,26.9694,0.9414,1.285,1.0341,0.7782,212.7107,5736.6691,298.3553,8046.4505,2019.7157,54470.4285
213,B,04,002,0.7877,0.0001907,0.6174,25.8742,0.9515,1.0714,0.9818,0.9333,213.4233,5522.1463,301.8624,7810.4344,1998.2646,51703.4002
214,B,04,002,0.7877,0.0001907,0.6174,103.9073,0.8522,1.8523,1.01,0.5399,200.7668,20861.1375,269.2161,27973.5174,1921.7286,199681.644
215,B,04,002,0.7877,0.0001907,0.6174,79.1284,0.8551,1.7452,0.983,0.573,205.5727,16266.6274,277.4256,21952.2327,1866.0225,147655.296
216,B,04,002,0.7877,0.0001907,0.6174,118.9663,0.7774,2.1902,0.9914,0.4566,1487.2394,176931.42,271.1484,32257.5377,1940.145,230811.945
217,B,04,002,0.7877,0.0001907,0.6174,52.159,0.874,1.8083,0.9922,0.553,198.0814,10331.7268,259.832,13552.5795,1830.6404,95484.3816
218,B,04,002,0.7877,0.0001907,0.6174,77.3487,0.8812,1.6939,0.9886,0.5903,202.2053,15640.3087,270.9168,20955.0511,1883.3009,145670.79
219,B,04,002,0.7877,0.0001907,0.6174,75.7059,0.9582,1.2528,0.9857,0.7982,209.6817,15874.1343,280.4828,21234.1908,1886.9403,142852.424
220,B,04,002,0.7877,0.0001907,0.6174,92.5446,0.8011,1.8159,0.9582,0.5507,925.2426,85626.1929,285.9571,26463.7812,1885.7855,174519.237
221,B,04,002,0.7877,0.0001907,0.6174,43.3974,0.9289,1.3562,0.9953,0.7374,201.1041,8727.3925,265.7192,11531.5208,1977.1767,85804.3001
222,B,04,002,0.7877,0.0001907,0.6174,28.4753,0.9282,1.1698,0.9858,0.8548,209.2356,5958.0368,290.3125,8266.723,2007.0288,57150.6621
223,B,04,002,0.7877,0.0001907,0.6174,121.5674,0.7881,1.8342,0.9472,0.5452,2302.4493,279902.877,282.6351,34359.2307,1963.0259,238640.04
224,B,04,002,0.7877,0.0001907,0.6174,33.4037,0.9457,1.2215,1.0062,0.8187,201.8279,6741.7909,272.0041,9085.9343,1948.4508,65085.402
225,B,04,002,0.7877,0.0001907,0.6174,126.9066,0.7774,2.261,0.9825,0.4423,205.1769,26038.2952,277.1532,35172.5552,1966.1899,249522.379
226,B,04,002,0.7877,0.0001907,0.6174,111.163,0.7459,2.3023,0.9672,0.4343,201.4877,22397.98,267.1342,29695.4491,1956.5628,217497.435
227,B,04,002,0.7877,0.0001907,0.6174,36.2786,0.8791,1.5319,1,0.6528,331.4415,12024.2248,293.7623,10657.2756,1776.6755,64455.25
228,B,04,002,0.7877,0.0001907,0.6174,31.4871,0.8985,1.1923,0.9644,0.8387,203.5826,6410.2184,280.9565,8846.4957,1916.5391,60346.1883
229,B,04,002,0.7877,0.0001907,0.6174,22.1778,0.9269,1.3151,0.9939,0.7604,205.7284,4562.6123,287.4012,6373.9398,1991.821,44174.2958
230,B,04,002,0.7877,0.0001907,0.6174,73.1047,0.9103,1.4459,0.9991,0.6916,207.0861,15138.9799,286.2322,20924.933,1823.6105,133314.582
231,B,04,002,0.7877,0.0001907,0.6174,28.7491,0.9096,1.5176,1.0048,0.659,214.4667,6165.7145,305.9857,8796.8009,1976.3667,56818.6789
232,B,04,002,0.7877,0.0001907,0.6174,47.7782,0.8596,1.8217,1.0087,0.5489,200.4183,9575.6266,272.1605,13003.3356,1933.9685,92401.5243
233,B,04,003,0.7698,0.00009537,0.7364,98.842,0.9738,1.21,1.0091,0.8265,340.3089,33636.808,269.9931,26686.6549,1788.2244,176751.67
